vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
(주)바디랩,김오곤의 동의비책 침향단 골드,112.5g [3.75gx30환],"19,100원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36900&type=1,건강기능식품,바디랩 김오곤의 동의비책 침향단 골드 112.5g [3.75gx30환],,0,Capacity Parse Failed,,19100,112.5,
(주)부일,냉동새우살(흰다리새우),300g,"9,600원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36902&type=1,식품,부일 냉동새우살 흰다리새우 300g,6649.999999999999,18,Success,https://smartstore.naver.com/main/products/9101634202,9600,300.0,-44.4
풀무원식품 주식회사,노엣지피자 스위트포테이토 콘,365g,"3,890원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36904&type=1,식품,풀무원식품 노엣지피자 스위트포테이토 콘 365g,9581.0,19,Success,https://smartstore.naver.com/main/products/10322415227,3890,365.0,59.4
키다리식품(주)대전제2공장,세이면 진실의 미간 잔치국수,196.5g,"1,290원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36906&type=1,식품,키다리식품대전제2공장 세이면 진실의 미간 잔치국수 196.5g,,0,Capacity Parse Failed,,1290,196.5,
(주)농심,신라면툼바,137g*4입,"3,110원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36908&type=1,식품,농심 신라면툼바 137g*4입,7510.0,19,Success,https://link.auction.co.kr/gate/pcs?item-no=E802108399&sub-id=1&service-code=10000003,3110,548.0,58.6
(주)팥알,워커힐고메 새우만두,23cmx29cm / 400g,"7,390원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36910&type=1,식품,팥알 워커힐고메 새우만두 23cmx29cm / 400g,,0,Capacity Parse Failed,,7390,400.0,
풀무원식품 주식회사,(영외)해물 생 수제비 2인,367g,"4,110원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36912&type=1,식품,풀무원식품 영외 해물 생 수제비 2인 367g,10000.0,18,Success,https://search.shopping.naver.com/catalog/56846475111,4110,367.0,58.9
오뚜기냉동식품주식회사,맛있는 메밀전병,360g,"3,170원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36914&type=1,식품,오뚜기냉동식품 맛있는 메밀전병 360g,12400.0,7,Success,https://smartstore.naver.com/main/products/11195702657,3170,360.0,74.4
씨제이제일제당(주),(영외)포도씨유,500ml,"4,500원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36916&type=1,식품,씨제이제일제당 영외 포도씨유 500ml,11737.5,20,Success,https://search.shopping.naver.com/catalog/51929477526,4500,500.0,61.7
(주)동원에프앤비,동원 자연산 골뱅이 매실청 140g,140g,"3,240원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36918&type=1,식품,동원에프앤비 동원 자연산 골뱅이 매실청 140g,24690.0,20,Success,https://smartstore.naver.com/main/products/11669001481,3240,140.0,86.9
(주)푸드인모닝스타,라온콕 푸짐한 도시락,370g,"4,560원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36920&type=1,식품,푸드인모닝스타 라온콕 푸짐한 도시락 370g,,0,Capacity Parse Failed,,4560,370.0,
주식회사 정성식품,(영외)백명란,250g,"7,980원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36922&type=1,식품,정성식품 영외 백명란 250g,,0,Capacity Parse Failed,,7980,250.0,
