vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
(주)농심,짜왕,134g*4개입,"3,760원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37032&type=1,식품,농심 짜왕 134g*4개입,99599.99999999999,19,Success,https://smartstore.naver.com/main/products/10727750868,3760,536.0,96.2
(주)뉴트리,에버콜라겐 블랙,63g/750mg*84정,"19,800원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37034&type=1,건강기능식품,뉴트리 에버콜라겐 블랙 63g/750mg*84정,45500.0,1,Low Sample,https://link.auction.co.kr/gate/pcs?item-no=C406731168&sub-id=1&service-code=10000003,19800,63.0,56.5
(주)케이제이씨글로벌,슈넬치킨,200g,"3,080원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4020&type=1,식품,케이제이씨글로벌 슈넬치킨 200g,,0,Capacity Parse Failed,,3080,200.0,
대한식품,참숯훈제란,2구(70g),"1,070원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4034&type=1,식품,대한식품 참숯훈제란 2구(70g),,0,Capacity Parse Failed,,1070,70.0,
씨제이제일제당(주),맛밤,80g,"1,890원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4050&type=1,식품,씨제이제일제당 맛밤 80g,10075.0,20,Success,https://smartstore.naver.com/main/products/10599456498,1890,80.0,81.2
창신리빙,슬림옷걸이5p,388x195x5mm,"1,740원",https://www.welfare.mil.kr/shop/imgView.do?p_code=5832&type=1,생활용품,창신리빙 슬림옷걸이5p 388x195x5mm,,0,Cache Miss,,1740,,
제이와이이노베이션(주),몬트 아미고 드로즈,100,"7,070원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36450&type=1,의류/군수품,제이와이이노베이션 몬트 아미고 드로즈 100,,0,Cache Miss,,7070,,
제이와이이노베이션(주),몬트 아미고 플리스자켓(상의),100,"35,830원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36458&type=1,의류/군수품,제이와이이노베이션 몬트 아미고 플리스자켓 상의 100,,0,Cache Miss,,35830,,
글로윙,기능성COOL스포츠마스크,free,"7,120원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36434&type=1,스포츠/레저,글로윙 기능성COOL스포츠마스크 free,,0,Cache Miss,,7120,,
코스코,스위스볼트 신형기능성멀티두건,free,"13,110원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36432&type=1,의류/군수품,코스코 스위스볼트 신형기능성멀티두건 free,,0,Cache Miss,,13110,,
(주)헤세드코리아,규격(190437)3D메쉬쿨론티115(공군),115호,"14,700원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36464&type=1,의류/군수품,헤세드코리아 규격 190437 3D메쉬쿨론티115 공군 115호,,0,Cache Miss,,14700,,
(주)태성사,규격(200383)(동계)컴프레션발열(상의)115호,115호,"20,140원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36462&type=1,의류/군수품,태성사 규격 200383 동계 컴프레션발열 상의 115호,,0,Cache Miss,,20140,,
(주)헤세드코리아,규격(190437)3D메쉬쿨론티115,115,"14,700원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36466&type=1,의류/군수품,헤세드코리아 규격 190437 3D메쉬쿨론티115,,0,Cache Miss,,14700,,
제이와이이노베이션(주),규격(240287)몬트 디지털 소다 라운드티(110),110,"12,190원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36468&type=1,의류/군수품,제이와이이노베이션 규격 240287 몬트 디지털 소다 라운드티 110,,0,Cache Miss,,12190,,
제이와이이노베이션(주),규격(240288)(동계)몬트 웜 디지털 동내의(하의)(105),105,"13,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36470&type=1,의류/군수품,제이와이이노베이션 규격 240288 동계 몬트 웜 디지털 동내의 하의 105,,0,Cache Miss,,13090,,
제이와이이노베이션(주),규격(240288)(동계)몬트 웜 디지털 동내의(하의)(95),95,"13,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36472&type=1,의류/군수품,제이와이이노베이션 규격 240288 동계 몬트 웜 디지털 동내의 하의 95,,0,Cache Miss,,13090,,
제이와이이노베이션(주),규격(240287)몬트 디지털 소다 라운드티(105),105,"12,190원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36474&type=1,의류/군수품,제이와이이노베이션 규격 240287 몬트 디지털 소다 라운드티 105,,0,Cache Miss,,12190,,
제이와이이노베이션(주),규격(240287)몬트 디지털 소다 라운드티(95),95,"12,190원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36476&type=1,의류/군수품,제이와이이노베이션 규격 240287 몬트 디지털 소다 라운드티 95,,0,Cache Miss,,12190,,
제이앤제이유에스에이(주),규격(240182)W2 밀리터리 심리스 언더셔츠(105-110호),105-110호,"12,790원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36488&type=1,의류/군수품,제이앤제이유에스에이 규격 240182 W2 밀리터리 심리스 언더셔츠 105-110호,,0,Cache Miss,,12790,,
큰마음유한회사,규격(240414)고탄력 전투화끈 조임이(검정색),free/검정색,"2,970원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36482&type=1,의류/군수품,큰마음유한회사 규격 240414 고탄력 전투화끈 조임이 검정색 free/검정색,,0,Cache Miss,,2970,,
제이앤제이유에스에이(주),규격(240182)W2 밀리터리 심리스 언더셔츠(100-105호),100-105호,"12,790원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36490&type=1,의류/군수품,제이앤제이유에스에이 규격 240182 W2 밀리터리 심리스 언더셔츠 100-105호,,0,Cache Miss,,12790,,
순수본(주),본죽 시그니처 매콤깻잎무침,80g,"2,200원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37036&type=1,식품,순수본 본죽 시그니처 매콤깻잎무침 80g,4480.0,2,Low Sample,https://lottemartzetta.com/products/OS8809644555516/details?ch_no=100076&ch_dtl_no=1001307&utm_id=100076_1001307&utm_content=OS8809644555516,2200,80.0,50.9
원삼양계,(영외)동물복지 유정란 10구,520g,"3,930원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37038&type=1,식품,원삼양계 영외 동물복지 유정란 10구 520g,7410.0,20,Success,https://shopping.naver.com/outlink/itemdetail/10280335829,3930,520.0,47.0
(주)오뚜기,오동통면,600g,"3,310원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37040&type=1,식품,오뚜기 오동통면 600g,6940.000000000001,13,Success,https://smartstore.naver.com/main/products/5931732635,3310,600.0,52.3
(주)부일,냉동 개아지살(키조개관자),400g,"10,870원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37042&type=1,식품,부일 냉동 개아지살 키조개관자 400g,14940.0,19,Success,http://donghaehangseafood.co.kr/goods/view?no=6&market=naver,10870,400.0,27.2
삼주티앤비(주),루이보스 시나몬 티,30g,"5,650원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37044&type=1,음료,삼주티앤비 루이보스 시나몬 티 30g,7500.0,3,Success,https://link.gmarket.co.kr/gate/pcs?item-no=3868744381&sub-id=1003&service-code=10000003&lcd=100000094,5650,30.0,24.7
씨제이제일제당(주),비비고 파김치,300g,"6,480원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37046&type=1,식품,씨제이제일제당 비비고 파김치 300g,10835.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4655916573&sub-id=1003&service-code=10000003&lcd=100000020,6480,300.0,40.2
(주)오뚜기,진비빔면 용기,134g,"1,220원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37048&type=1,식품,오뚜기 진비빔면 용기 134g,18330.0,20,Success,https://smartstore.naver.com/main/products/12930377716,1220,134.0,93.3
대상(주),(영외)호밍스 쭈꾸미불고기 (550g),550g,"10,670원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37050&type=1,식품,대상 영외 호밍스 쭈꾸미불고기 550g,18500.0,20,Success,https://search.shopping.naver.com/catalog/59288604283,10670,550.0,42.3
두레식품(주),담백한 통 순살족발,300g,"7,200원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37052&type=1,식품,두레식품 담백한 통 순살족발 300g,20440.0,20,Success,https://search.shopping.naver.com/catalog/28660008385,7200,300.0,64.8
경남제약(주),레모나 루테인 비타민A 구미,240g,"7,920원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36800&type=1,건강기능식품,경남제약 레모나 루테인 비타민A 구미 240g,21500.0,19,Success,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9220088342&tid=1000000061,7920,240.0,63.2
주식회사맑은농산,하루건강견과 베리앤넛츠,20g x 10봉,"4,960원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36802&type=1,식품,맑은농산 하루건강견과 베리앤넛츠 20g x 10봉,35840.0,1,Low Sample,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=59340548&ctag=59340548&lptag=I27914816527&itemId=27914816527&vendorItemId=94873438749&spec=10305199,4960,200.0,86.2
네슬레코리아(유),스타벅스 드립백 파이크 플레이스 45g,45g,"4,910원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36804&type=1,음료,네슬레코리아(유) 스타벅스 드립백 파이크 플레이스 45g,74305.21428571429,2,Low Sample,https://smartstore.naver.com/main/products/12381567688,4910,45.0,93.4
씨제이제일제당(주),(영외)국산콩 순두부,330g,"1,400원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36806&type=1,식품,씨제이제일제당 영외 국산콩 순두부 330g,2080.0,8,Success,https://www.cjthemarket.com/the/product/product-main?prdCd=40111312&code=Na1&utm_source=naver&utm_medium=ep_feed,1400,330.0,32.7
(주)팔도,진국설렁탕면,100g*4입,"2,460원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36808&type=1,식품,팔도 진국설렁탕면 100g*4입,18200.0,20,Success,https://affiliate.homeplus.co.kr/external/bridge?channelId=1000006&targetUrl=https%3A%2F%2Ffront.homeplus.co.kr%2Fitem%3FitemNo%3D069396214%26storeType%3DHYPER,2460,400.0,86.5
씨제이제일제당(주),비비고 통새우만두,200g,"3,690원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36810&type=1,식품,씨제이제일제당 비비고 통새우만두 200g,7650.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4583770859&sub-id=1003&service-code=10000003&lcd=100000036,3690,200.0,51.8
(주)밀라노푸드시스템,우와한 직화구이 오징어,100g,"5,030원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37142&type=1,식품,밀라노푸드시스템 우와한 직화구이 오징어 100g,,0,Capacity Parse Failed,,5030,100.0,
청호,냠냠육포[양념갈비맛],120g,"4,560원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37146&type=1,식품,청호 냠냠육포 양념갈비맛 120g,,0,Capacity Parse Failed,,4560,120.0,
대상(주),(영외)햇살담은 염도낮춘발효다시마간장,840ml,"3,500원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36812&type=1,식품,대상 영외 햇살담은 염도낮춘발효다시마간장 840ml,13535.0,20,Success,https://search.shopping.naver.com/catalog/51929018309,3500,840.0,74.1
(주)대상다이브스,잉글리쉬머핀 샌드위치,138g,"3,060원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36814&type=1,식품,대상다이브스 잉글리쉬머핀 샌드위치 138g,12830.0,9,Success,https://smartstore.naver.com/main/products/12015625967,3060,138.0,76.1
(주)오뚜기,저당 허니머스타드,265g,"1,890원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36816&type=1,식품,오뚜기 저당 허니머스타드 265g,4650.0,20,Success,https://smartstore.naver.com/main/products/13119889995,1890,265.0,59.4
(주)쿠캣,직화무뼈닭발,160g,"7,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36818&type=1,식품,쿠캣 직화무뼈닭발 160g,11520.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4413753822&sub-id=1003&service-code=10000003&lcd=100000036,7090,160.0,38.5
대상(주),(영외)호밍스 우삼겹 스키야키 (680g),680g,"7,260원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36820&type=1,식품,대상 영외 호밍스 우삼겹 스키야키 680g,,0,Capacity Parse Failed,,7260,680.0,
(주)오뚜기,꼬리까지 가득 찬 팥붕어빵,480g,"4,480원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36822&type=1,식품,오뚜기 꼬리까지 가득 찬 팥붕어빵 480g,8347.5,19,Success,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=7737784710&tid=1000000061,4480,480.0,46.3
(주)오뚜기,(영외)고소한참기름,320ml,"8,070원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36824&type=1,식품,오뚜기 영외 고소한참기름 320ml,13610.0,20,Success,https://search.shopping.naver.com/catalog/51929587810,8070,320.0,40.7
풀무원식품 주식회사,납작지짐만두,700g,"3,990원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36826&type=1,식품,풀무원식품 납작지짐만두 700g,12930.0,20,Success,https://smartstore.naver.com/main/products/12992817493,3990,700.0,69.1
(주)동원홈푸드 경기1공장,돈목살,700g,"12,170원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36828&type=1,식품,동원홈푸드 경기1공장 돈목살 700g,,0,Capacity Parse Failed,,12170,700.0,
홍선,일품등심육포,100g,"5,700원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37138&type=1,식품,홍선 일품등심육포 100g,8101.25,2,Low Sample,https://www.lotteon.com/p/product/LO2620051782?sitmNo=LO2620051782_2620051783&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,5700,100.0,29.6
(주)코주부비엔에프,우리소육포,70g,"4,860원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37140&type=1,식품,코주부비엔에프 우리소육포 70g,22300.0,11,Success,https://smartstore.naver.com/main/products/13002772292,4860,70.0,78.2
(주)코주부비엔에프,맛다리,120g,"5,960원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37132&type=1,식품,코주부비엔에프 맛다리 120g,15900.0,1,Low Sample,https://smartstore.naver.com/main/products/13305653523,5960,120.0,62.5
진주식품,맛좋은 먹태포,100g,"4,750원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37134&type=1,식품,진주식품 맛좋은 먹태포 100g,5000.0,20,Success,https://smartstore.naver.com/main/products/5192927895,4750,100.0,5.0
진주식품,부드러운 아귀포,100g,"4,980원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37136&type=1,식품,진주식품 부드러운 아귀포 100g,7200.0,20,Success,https://smartstore.naver.com/main/products/12632438238,4980,100.0,30.8
진주식품,맛좋은 오징어,150g,"9,980원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37144&type=1,식품,진주식품 맛좋은 오징어 150g,9650.0,17,Success,https://smartstore.naver.com/main/products/5703871177,9980,150.0,-3.4
(주)코주부비엔에프,우리동네 별미쥐포 2마리,40g,"1,550원",https://www.welfare.mil.kr/shop/imgView.do?p_code=34258&type=1,식품,코주부비엔에프 우리동네 별미쥐포 2마리 40g,3740.0,3,Success,https://smartstore.naver.com/main/products/12239671164,1550,40.0,58.6
청호,레알 참 육포,60g,"3,660원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35244&type=1,식품,청호 레알 참 육포 60g,,0,Capacity Parse Failed,,3660,60.0,
(주)선일물산,얍실이오징어,100g,"6,470원",https://www.welfare.mil.kr/shop/imgView.do?p_code=34262&type=1,식품,선일물산 얍실이오징어 100g,32260.0,6,Success,https://smartstore.naver.com/main/products/5110576849,6470,100.0,79.9
청호,델리참육포,80g,"3,140원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35248&type=1,식품,청호 델리참육포 80g,27500.0,13,Success,https://smartstore.naver.com/main/products/12162811207,3140,80.0,88.6
진주식품,촉촉한 오징어,300g,"11,230원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35246&type=1,식품,진주식품 촉촉한 오징어 300g,15840.0,18,Success,https://search.shopping.naver.com/catalog/36178203707,11230,300.0,29.1
(주)코주부비엔에프,코주부 CLASSIC 육포 BBQ,130g,"7,210원",https://www.welfare.mil.kr/shop/imgView.do?p_code=34256&type=1,식품,코주부비엔에프 코주부 CLASSIC 육포 BBQ 130g,16995.0,19,Success,https://search.shopping.naver.com/catalog/37579129873,7210,130.0,57.6
대상(주),안주야 먹태열풍 청양데리야끼맛(25g),25g,"2,570원",https://www.welfare.mil.kr/shop/imgView.do?p_code=34252&type=1,식품,대상 안주야 먹태열풍 청양데리야끼맛 25g,10135.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4403574225&sub-id=1003&service-code=10000003&lcd=100000036,2570,25.0,74.6
(주)코주부비엔에프,바베큐 조미 오징어,300g,"11,660원",https://www.welfare.mil.kr/shop/imgView.do?p_code=33084&type=1,식품,코주부비엔에프 바베큐 조미 오징어 300g,58834.99999999999,20,Success,https://search.shopping.naver.com/catalog/58829611696,11660,300.0,80.2
샘표식품주식회사,질러 부드러운 육포,70g,"4,300원",https://www.welfare.mil.kr/shop/imgView.do?p_code=31974&type=1,식품,샘표식품 질러 부드러운 육포 70g,12285.0,20,Success,https://search.shopping.naver.com/catalog/56630977637,4300,70.0,65.0
비알코리아(주),아몬드 봉봉 PREPACK,100ml,"1,540원",https://www.welfare.mil.kr/shop/imgView.do?p_code=33104&type=1,식품,비알코리아 아몬드 봉봉 PREPACK 100ml,,0,Capacity Parse Failed,,1540,100.0,
(주)오뚜기,(영외)참깨돈까스소스,470g,"2,010원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36830&type=1,식품,오뚜기 영외 참깨돈까스소스 470g,4350.0,20,Success,https://search.shopping.naver.com/catalog/51929183811,2010,470.0,53.8
에이치케이이노엔㈜,컨디션스틱,18g,690원,https://www.welfare.mil.kr/shop/imgView.do?p_code=36832&type=1,식품,에이치케이이노엔㈜ 컨디션스틱 18g,1100.0,20,Success,https://smartstore.naver.com/main/products/6479689927,690,18.0,37.3
(주)디엔씨트레이딩,(영외)올리소이유기농엑스트라버진올리브유,500ml,"15,780원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36834&type=1,식품,디엔씨트레이딩 영외 올리소이유기농엑스트라버진올리브유 500ml,,0,Capacity Parse Failed,,15780,500.0,
(주)이가자연면,누룽제비플레이트,147g,"2,240원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37092&type=1,식품,이가자연면 누룽제비플레이트 147g,,0,Capacity Parse Failed,,2240,147.0,
(주)동원에프앤비,상상 스테이크마블 40g,40g,"2,000원",https://www.welfare.mil.kr/shop/imgView.do?p_code=27962&type=1,식품,동원에프앤비 상상 스테이크마블 40g,2750.0,20,Success,https://search.shopping.naver.com/catalog/59236790744,2000,40.0,27.3
(주)동원에프앤비,상상 로스트비프 40g,40g,"2,210원",https://www.welfare.mil.kr/shop/imgView.do?p_code=27966&type=1,식품,동원에프앤비 상상 로스트비프 40g,15700.0,20,Success,https://search.shopping.naver.com/catalog/59237038921,2210,40.0,85.9
비알코리아(주),체리쥬빌레 PREPACK,100ml,"1,540원",https://www.welfare.mil.kr/shop/imgView.do?p_code=33092&type=1,식품,비알코리아 체리쥬빌레 PREPACK 100ml,,0,Capacity Parse Failed,,1540,100.0,
(주)동양냉동,아이스웰,180g,430원,https://www.welfare.mil.kr/shop/imgView.do?p_code=33108&type=1,식품,동양냉동 아이스웰 180g,,0,Max Retries,,430,180.0,
대상(주),(영외)햇살담은 씨간장양조간장골드,840ml,"3,990원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37094&type=1,식품,대상 영외 햇살담은 씨간장양조간장골드 840ml,,0,Max Retries,,3990,840.0,
(주)이가자연면,불매콤야끼우동,313g,"2,220원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37096&type=1,식품,이가자연면 불매콤야끼우동 313g,,0,Max Retries,,2220,313.0,
(주)상도푸드 농업회사법인,직화 와일드치킨봉,420g,"6,990원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37098&type=1,식품,상도푸드 농업회사법인 직화 와일드치킨봉 420g,,0,Max Retries,,6990,420.0,
(주)팔도,팔도 도시락,86g,670원,https://www.welfare.mil.kr/shop/imgView.do?p_code=37100&type=1,식품,팔도 팔도 도시락 86g,16700.0,15,Success,https://smartstore.naver.com/main/products/6281226150,670,86.0,96.0
(주)이디야,이디야 토피 넛 라떼 30개입,20g*30개입/600g,"8,800원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37102&type=1,음료,이디야 이디야 토피 넛 라떼 30개입 20g*30개입/600g,16645.0,20,Success,https://smartstore.naver.com/main/products/12664884580,8800,600.0,47.1
태광푸드(주),간편형스마트미숫가루,50g,"1,000원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37104&type=1,식품,태광푸드 간편형스마트미숫가루 50g,1312.5,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=1674949470&sub-id=1003&service-code=10000003&lcd=100000068,1000,50.0,23.8
주식회사 서울루션,(영외)더블레스드 유기농 엑스트라버진 올리브유,500ml,"20,000원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37106&type=1,식품,서울루션 영외 더블레스드 유기농 엑스트라버진 올리브유 500ml,,0,Capacity Parse Failed,,20000,500.0,
두레식품(주),담백한 통 편육,300g,"6,340원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37108&type=1,식품,두레식품 담백한 통 편육 300g,,0,Capacity Parse Failed,,6340,300.0,
(주)어댑트,콜레올로지 쾌변 젤리,300g[25g*12포],"17,780원",https://www.welfare.mil.kr/shop/imgView.do?p_code=37110&type=1,건강기능식품,어댑트 콜레올로지 쾌변 젤리 300g[25g*12포],,0,Capacity Parse Failed,,17780,300.0,
케이제이싹스앤아이엔씨(주,태극파일양말,78.75g,"3,020원",https://www.welfare.mil.kr/shop/imgView.do?p_code=5852&type=1,의류/군수품,케이제이싹스앤아이엔씨(주 태극파일양말 78.75g,,0,Capacity Parse Failed,,3020,78.75,
제이와이이노베이션(주),몬트 웜 디지털 동내의(하의),100,"13,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35064&type=1,의류/군수품,제이와이이노베이션 몬트 웜 디지털 동내의 하의 100,,0,Cache Miss,,13090,,
코스코,(동계)따뜻한 방한장갑,free,"11,260원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35050&type=1,의류/군수품,코스코 동계 따뜻한 방한장갑 free,,0,Cache Miss,,11260,,
제이앤제이유에스에이(주),W2 압박스타킹,45g,"6,140원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35046&type=1,미용/위생,제이앤제이유에스에이 W2 압박스타킹 45g,,0,Capacity Parse Failed,,6140,45.0,
제이와이이노베이션(주),몬트 디지털 소다 라운드티,100,"12,190원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35048&type=1,의류/군수품,제이와이이노베이션 몬트 디지털 소다 라운드티 100,,0,Cache Miss,,12190,,
제이앤제이유에스에이(주),W2밀리터리 심리스언더셔츠,95-100호,"12,790원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35036&type=1,의류/군수품,제이앤제이유에스에이 W2밀리터리 심리스언더셔츠 95-100호,,0,Cache Miss,,12790,,
코스코,(동계)스위스볼트 넥워머,free,"8,170원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35062&type=1,의류/군수품,코스코 동계 스위스볼트 넥워머 free,,0,Cache Miss,,8170,,
케이알시(KRC)인터내셔널,KREX P11 편광파일럿선글라스,24.5g,"30,550원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35038&type=1,스포츠/레저,케이알시(KRC)인터내셔널 KREX P11 편광파일럿선글라스 24.5g,,0,Capacity Parse Failed,,30550,24.5,
다봉산업(주),(동계)마이핫 보온대 장병용 180g,180g/ea,470원,https://www.welfare.mil.kr/shop/imgView.do?p_code=35040&type=1,의류/군수품,다봉산업 동계 마이핫 보온대 장병용 180g 180g/ea,11081.25,12,Success,https://smartstore.naver.com/main/products/9592181507,470,180.0,95.8
큰마음유한회사,고탄력 전투화끈 조임이(황토색),free/황토색,"2,970원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35054&type=1,의류/군수품,큰마음유한회사 고탄력 전투화끈 조임이 황토색 free/황토색,,0,Cache Miss,,2970,,
코스코,(동계)접히는 귀마개,free,"4,100원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35056&type=1,생활용품,코스코 동계 접히는 귀마개 free,,0,Cache Miss,,4100,,
(주)한영코리아,규격(230493)네파챌린지라운드티110,110호/180g,"12,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=33744&type=1,의류/군수품,한영코리아 규격 230493 네파챌린지라운드티110 110호/180g,,0,Capacity Parse Failed,,12090,180.0,
(주)한영코리아,규격(230493)네파챌린지라운드티105,105호/180g,"12,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35084&type=1,의류/군수품,한영코리아 규격 230493 네파챌린지라운드티105 105호/180g,,0,Capacity Parse Failed,,12090,180.0,
(주)한영코리아,규격(230493)네파챌린지라운드티95,95호/180g,"12,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35086&type=1,의류/군수품,한영코리아 규격 230493 네파챌린지라운드티95 95호/180g,,0,Capacity Parse Failed,,12090,180.0,
한국하겐-다즈(주),하겐다즈 미니컵 스트로베리,100ml,"1,850원",https://www.welfare.mil.kr/shop/imgView.do?p_code=31168&type=1,식품,한국하겐-다즈 하겐다즈 미니컵 스트로베리 100ml,,0,Capacity Parse Failed,,1850,100.0,
(주)빙그레,끌레도르 크림치즈바 블루베리,85ml,940원,https://www.welfare.mil.kr/shop/imgView.do?p_code=28008&type=1,식품,빙그레 끌레도르 크림치즈바 블루베리 85ml,58399.99999999999,1,Low Sample,https://search.shopping.naver.com/catalog/59320313218,940,85.0,98.4
한국하겐-다즈(주),하겐다즈 미니컵 벨지안초코렛,100ml,"1,940원",https://www.welfare.mil.kr/shop/imgView.do?p_code=28014&type=1,식품,한국하겐-다즈 하겐다즈 미니컵 벨지안초코렛 100ml,,0,Capacity Parse Failed,,1940,100.0,
애경산업(주),케라시스 러블리앤로맨틱 퍼퓸린스,600ml,"3,540원",https://www.welfare.mil.kr/shop/imgView.do?p_code=5786&type=1,미용/위생,애경산업 케라시스 러블리앤로맨틱 퍼퓸린스 600ml,8651.020408163266,17,Success,https://smartstore.naver.com/main/products/11308948563,3540,600.0,59.1
라이온코리아(주),비트아로마웨이브(드럼),3L,"6,980원",https://www.welfare.mil.kr/shop/imgView.do?p_code=5804&type=1,생활용품,라이온코리아 비트아로마웨이브 드럼 3L,18595.0,20,Success,https://search.shopping.naver.com/catalog/53316137058,6980,3000.0,62.5
대상(주),청정원마시는홍초석류,900ML,"7,150원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4120&type=1,음료,대상 청정원마시는홍초석류 900ML,6980.0,20,Success,https://smartstore.naver.com/main/products/5277642554,7150,900.0,-2.4
씨제이제일제당(주),(영외)찰밀가루,2.5kg,"4,110원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4160&type=1,식품,씨제이제일제당 영외 찰밀가루 2.5kg,8875.0,20,Success,https://www.cjthemarket.com/the/product/product-main?prdCd=40125304&code=Na1&utm_source=naver&utm_medium=ep_feed,4110,2500.0,53.7
씨제이제일제당(주),밥이랑야채,27g,"1,640원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4170&type=1,식품,씨제이제일제당 밥이랑야채 27g,3052.8,20,Success,https://www.cjthemarket.com/the/product/product-main?prdCd=30195330&code=Na1&utm_source=naver&utm_medium=ep_feed,1640,27.0,46.3
